Vaccine,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,MCC,Train Time (s),Predict Time (s)
FLU,0.9524118537746052,0.934798357884569,0.8234418208891725,0.8755937570685365,0.9722224474885199,0.9450897786047784,0.8489205219061244,519.09,0.24
FLU,0.9524118537746052,0.934798357884569,0.8234418208891725,0.8755937570685365,0.9722224474885199,0.9450897786047784,0.8489205219061244,545.2,0.25
VARZOS,0.9643370463528567,0.9288518155053974,0.7446892210857592,0.8266375545851529,0.9692120255181963,0.9097083996789568,0.813152874764516,563.71,0.27
PPV,0.9998178838098707,1.0,0.9984326018808778,0.9992156862745099,0.9995475118967875,0.9989230383693525,0.9991130612359351,424.73,0.06
COVID,0.9435250201320058,0.957155599298742,0.8358625876285891,0.8924065152557926,0.9740081497041402,0.959796530404807,0.8579629154500454,884.13,1.64
